year,artist,title
1970,Band of Gold Freda Payne,10
1970,Mama Told Me (Not to Come) Three Dog Night,11
1970,Everything Is Beautiful Ray Stevens,12
1970,Make It with You Bread,13
1970,Hitchin’ a Ride Vanity Fare,14
1970,ABC The Jackson 5,15
1970,The Love You Save The Jackson 5,16
1970,Cracklin’ Rosie Neil Diamond,17
1970,Candida Dawn,18
1970,Thank You (Falettinme Be Mice Elf Agin) Sly & the Family Stone,19
1970,Spill the Wine Eric Burdon & War,20
1970,O-o-h Child Five Stairsteps,21
1970,Spirit in the Sky Norman Greenbaum,22
1970,Lay Down (Candles in the Rain) Melanie,23
1970,Ball of Confusion (That’s What the World Is Today) The Temptations,24
1970,Love on a Two-Way Street The Moments,25
1970,Which Way You Goin’ Billy? The Poppy Family,26
1970,All Right Now Free,27
1970,I Want You Back The Jackson 5,28
1970,"Julie, Do Ya Love Me Bobby Sherman",29
1970,Green-Eyed Lady Sugarloaf,30
1970,"Signed, Sealed, Delivered I’m Yours Stevie Wonder",31
1970,Ride Captain Ride Blues Image,32
1970,Venus Shocking Blue,33
1970,Instant Karma! John Lennon,34
1970,Patches Clarence Carter,35
1970,Lookin’ out My Back Door Creedence Clearwater Revival,36
1970,Rainy Night in Georgia Brook Benton,37
1970,Something’s Burning Kenny Rogers & The First Edition,38
1970,Give Me Just a Little More Time Chairmen of the Board,39
1970,Love Grows (Where My Rosemary Goes) Edison Lighthouse,40
1970,The Long and Winding Road The Beatles,41
1970,Snowbird Anne Murray,42
1970,Reflections of My Life Marmalade,43
1970,Hey There Lonely Girl Eddie Holman,44
1970,The Rapper The Jaggerz,45
1970,"He Ain’t Heavy, He’s My Brother The Hollies",46
1970,"Tighter, Tighter Alive N Kickin’",47
1970,Come and Get It Badfinger,48
1970,Cecilia Simon & Garfunkel,49
1970,Love Land Charles Wright & the Watts 103rd Street Rhythm Band,50
1970,Turn Back the Hands of Time Tyrone Davis,51
1970,Lola The Kinks,52
1970,In the Summertime Mungo Jerry,53
1970,Indiana Wants Me R. Dean Taylor,54
1970,Indiana Wants Me R. Dean Taylor,55
1970,"Easy Come, Easy Go Bobby Sherman",56
1970,Express Yourself Charles Wright & the Watts 103rd Street Rhythm Band,57
1970,Still Water (Love) The Four Tops,58
1970,Make Me Smile Chicago,59
1970,The House of the Rising Sun Frijid Pink,60
1970,25 or 6 to 4 Chicago,61
1970,My Baby Loves Lovin’ White Plains,62
1970,Love or Let Me Be Lonely The Friends of Distinction,63
1970,United We Stand The Brotherhood of Man,64
1970,We’ve Only Just Begun The Carpenters,65
1970,Arizona Mark Lindsay,66
1970,Fire and Rain James Taylor,67
1970,Groovy Situation Gene Chandler,68
1970,Evil Ways Santana,69
1970,No Time The Guess Who,70
1970,Didn’t I (Blow Your Mind This Time) The Delfonics,71
1970,The Wonder of You Elvis Presley,72
1970,Up Around the Bend Creedence Clearwater Revival,73
1970,(If You Let Me Make Love To You Then) Why Can’t I Touch You? Ronnie Dyson,74
1970,I Just Can’t Help Believing B.J. Thomas,75
1970,It’s a Shame The Spinners,76
1970,For the Love of Him Bobbi Martin,77
1970,Mississippi Queen Mountain,78
1970,I Want to Take You Higher Ike & Tina Turner,79
1970,The Letter Joe Cocker,80
1970,Ma Belle Amie Tee Set,81
1970,The Bells The Originals,82
1970,Yellow River Christie,83
1970,Somebody’s Been Sleeping 100 Proof (Aged in Soul),84
1970,Vehicle The Ides of March,85
1970,Gimme Dat Ding The Pipkins,86
1970,Lay a Little Lovin’ On Me Robin McNamara,87
1970,Up the Ladder to the Roof The Supremes,88
1970,Travelin’ Band Creedence Clearwater Revival,89
1970,Come Saturday Morning The Sandpipers,90
1970,Psychedelic Shack The Temptations,91
1970,Without Love (There Is Nothing) Tom Jones,92
1970,Are You Ready? Pacific Gas & Electric,93
1970,"Woodstock Crosby, Stills , Nash & Young",94
1970,I’ll Never Fall in Love Again Dionne Warwick,95
1970,Look What They’ve Done to My Song Ma The New Seekers,96
1970,Walk A Mile In My Shoes Joe South,97
1970,The Thrill Is Gone B.B. King,98
1970,It’s Only Make Believe Glen Campbell,99
1970,Call Me Aretha Franklin,100
1970,The 1960s,Podcast
1970,The 1970s,Podcast
1970,The 1960s,Podcast
1970,The 1970s,Podcast
1970,"enabledLocations: ['Content', 'Recipe'],",window.adthriveCLS = {
1970,"injectedFromPlugin: true,","injectedSlots: [],"
1970,w.adthrive = w.adthrive || {};,"(function(w, d) {"
1970,w.adthrive.plugin = 'adthrive-ads-3.7.1';,w.adthrive.cmd = w.adthrive.cmd || [];
1970,w.adthrive.integration = 'plugin';,w.adthrive.host = 'ads.adthrive.com';
1971,Knock Three Times Tony Orlando and Dawn,10
1971,Me and Bobby McGee Janis Joplin,11
1971,Tired of Being Alone Al Green,12
1971,Want Ads Honey Cone,13
1971,Smiling Faces Sometimes The Undisputed Truth,14
1971,Treat Her Like a Lady Cornelius Brothers & Sister Rose,15
1971,You’ve Got a Friend James Taylor,16
1971,Mr. Big Stuff Jean Knight,17
1971,Brown Sugar The Rolling Stones,18
1971,Do You Know What I Mean Lee Michaels,19
1971,The Night They Drove Old Dixie Down Joan Baez,20
1971,What’s Going On Marvin Gaye,21
1971,Uncle Albert/Admiral Halsey Paul & Linda McCartney,22
1971,Ain’t No Sunshine Bill Withers,23
1971,Signs Five Man Electrical Band,24
1971,She’s a Lady Tom Jones,25
1971,Superstar Murray Head & The Trinidad Singers,26
1971,I’ve Found Someone of My Own The Free Movement,27
1971,Amos Moses Jerry Reed,28
1971,Temptation Eyes The Grass Roots,29
1971,Superstar The Carpenters,30
1971,My Sweet Lord George Harrison,31
1971,Sweet and Innocent Donny Osmond,32
1971,Put Your Hand in the Hand Ocean,33
1971,Chick-A-Boom (Don’t Ya Jes’ Love It) Daddy Dewdrop,34
1971,For All We Know The Carpenters,35
1971,Help Me Make It Through the Night Sammi Smith,36
