year,rank,artist,title,chart
1971,1,Knock Three Times Tony Orlando and Dawn,10,Top40Weekly Top 100
1971,2,Me and Bobby McGee Janis Joplin,11,Top40Weekly Top 100
1971,3,Tired of Being Alone Al Green,12,Top40Weekly Top 100
1971,4,Want Ads Honey Cone,13,Top40Weekly Top 100
1971,5,Smiling Faces Sometimes The Undisputed Truth,14,Top40Weekly Top 100
1971,6,Treat Her Like a Lady Cornelius Brothers & Sister Rose,15,Top40Weekly Top 100
1971,7,You’ve Got a Friend James Taylor,16,Top40Weekly Top 100
1971,8,Mr. Big Stuff Jean Knight,17,Top40Weekly Top 100
1971,9,Brown Sugar The Rolling Stones,18,Top40Weekly Top 100
1971,10,Do You Know What I Mean Lee Michaels,19,Top40Weekly Top 100
1971,11,The Night They Drove Old Dixie Down Joan Baez,20,Top40Weekly Top 100
1971,12,What’s Going On Marvin Gaye,21,Top40Weekly Top 100
1971,13,Uncle Albert/Admiral Halsey Paul & Linda McCartney,22,Top40Weekly Top 100
1971,14,Ain’t No Sunshine Bill Withers,23,Top40Weekly Top 100
1971,15,Signs Five Man Electrical Band,24,Top40Weekly Top 100
1971,16,She’s a Lady Tom Jones,25,Top40Weekly Top 100
1971,17,Superstar Murray Head & The Trinidad Singers,26,Top40Weekly Top 100
1971,18,I’ve Found Someone of My Own The Free Movement,27,Top40Weekly Top 100
1971,19,Amos Moses Jerry Reed,28,Top40Weekly Top 100
1971,20,Temptation Eyes The Grass Roots,29,Top40Weekly Top 100
1971,21,Superstar The Carpenters,30,Top40Weekly Top 100
1971,22,My Sweet Lord George Harrison,31,Top40Weekly Top 100
1971,23,Sweet and Innocent Donny Osmond,32,Top40Weekly Top 100
1971,24,Put Your Hand in the Hand Ocean,33,Top40Weekly Top 100
1971,25,Chick-A-Boom (Don’t Ya Jes’ Love It) Daddy Dewdrop,34,Top40Weekly Top 100
1971,26,For All We Know The Carpenters,35,Top40Weekly Top 100
1971,27,Help Me Make It Through the Night Sammi Smith,36,Top40Weekly Top 100
1971,28,Rainy Days and Mondays The Carpenters,37,Top40Weekly Top 100
1971,29,If You Could Read My Mind Gordon Lightfoot,38,Top40Weekly Top 100
1971,30,"Gypsys, Tramps & Thieves Cher",39,Top40Weekly Top 100
1971,31,Never Can Say Goodbye The Jackson 5,40,Top40Weekly Top 100
1971,32,Rose Garden Lynn Anderson,41,Top40Weekly Top 100
1971,33,"Don’t Pull Your Love Hamilton, Joe Frank & Reynolds",42,Top40Weekly Top 100
1971,34,It Don’t Come Easy Ringo Starr,43,Top40Weekly Top 100
1971,35,Mr. Bojangles Nitty Gritty Dirt Band,44,Top40Weekly Top 100
1971,36,I Love You for All Seasons The Fuzz,45,Top40Weekly Top 100
1971,37,Whatcha See is Whatcha Get The Dramatics,46,Top40Weekly Top 100
1971,38,That’s the Way I’ve Always Heard It Should Be Carly Simon,47,Top40Weekly Top 100
1971,39,If You Really Love Me Stevie Wonder,48,Top40Weekly Top 100
1971,40,Spanish Harlem Aretha Franklin,49,Top40Weekly Top 100
1971,41,I Don’t Know How to Love Him Helen Reddy,50,Top40Weekly Top 100
1971,42,Yo-Yo The Osmonds,51,Top40Weekly Top 100
1971,43,Bridge over Troubled Water Aretha Franklin,52,Top40Weekly Top 100
1971,44,Doesn’t Somebody Want to Be Wanted The Partridge Family,53,Top40Weekly Top 100
1971,45,Draggin’ the Line Tommy James,54,Top40Weekly Top 100
1971,46,Proud Mary Ike & Tina Turner,55,Top40Weekly Top 100
1971,47,Beginnings / Colour My World Chicago,56,Top40Weekly Top 100
1971,48,Stay Awhile The Bells,57,Top40Weekly Top 100
1971,49,Sweet City Woman The Stampeders,58,Top40Weekly Top 100
1971,50,Me and You and a Dog Named Boo Lobo,59,Top40Weekly Top 100
1971,51,"Another Day / Oh Woman, Oh Why Paul McCartney",60,Top40Weekly Top 100
1971,52,If Bread,61,Top40Weekly Top 100
1971,53,Mercy Mercy Me (The Ecology) Marvin Gaye,62,Top40Weekly Top 100
1971,54,One Toke Over the Line Brewer & Shipley,63,Top40Weekly Top 100
1971,55,She’s Not Just Another Woman 8th Day,64,Top40Weekly Top 100
1971,56,Bring the Boys Home Freda Payne,65,Top40Weekly Top 100
1971,57,I Just Want to Celebrate Rare Earth,66,Top40Weekly Top 100
1971,58,Never Ending Song of Love Delaney & Bonnie & Friends,67,Top40Weekly Top 100
1971,59,Easy Loving Freddie Hart,68,Top40Weekly Top 100
1971,60,Liar Three Dog Night,69,Top40Weekly Top 100
1971,61,Stick-Up Honey Cone,70,Top40Weekly Top 100
1971,62,Chirpy Chirpy Cheep Cheep Mac and Katie Kissoon,71,Top40Weekly Top 100
1971,63,(Where Do I Begin?) Love Story Andy Williams,72,Top40Weekly Top 100
1971,64,Wild World Cat Stevens,73,Top40Weekly Top 100
1971,65,"When You’re Hot, You’re Hot Jerry Reed",74,Top40Weekly Top 100
1971,66,Funky Nassau The Beginning of the End,75,Top40Weekly Top 100
1971,67,If Not for You Olivia Newton-John,76,Top40Weekly Top 100
1971,68,Groove Me King Floyd,77,Top40Weekly Top 100
1971,69,Watching Scotty Grow Bobby Goldsboro,78,Top40Weekly Top 100
1971,70,Woodstock Matthews Southern Comfort,79,Top40Weekly Top 100
1971,71,Amazing Grace Judy Collins,80,Top40Weekly Top 100
1971,72,I Hear You Knocking Dave Edmunds,81,Top40Weekly Top 100
1971,73,Lonely Days Bee Gees,82,Top40Weekly Top 100
1971,74,Here Comes That Rainy Day Feeling Again The Fortunes,83,Top40Weekly Top 100
1971,75,Won’t Get Fooled Again The Who,84,Top40Weekly Top 100
1971,76,Trapped By a Thing Called Love Denise LaSalle,85,Top40Weekly Top 100
1971,77,Mama’s Pearl The Jackson 5,86,Top40Weekly Top 100
1971,78,Timothy The Buoys,87,Top40Weekly Top 100
1971,79,I Woke Up In Love This Morning The Partridge Family,88,Top40Weekly Top 100
1971,80,Theme from Shaft Isaac Hayes,89,Top40Weekly Top 100
1971,81,If I Were Your Woman Gladys Knight & the Pips,90,Top40Weekly Top 100
1971,82,I Am…I Said Neil Diamond,91,Top40Weekly Top 100
1971,83,The Wedding Song (There Is Love) Paul Stookey,92,Top40Weekly Top 100
1971,84,Don’t Knock My Love Wilson Pickett,93,Top40Weekly Top 100
1971,85,Love Her Madly The Doors,94,Top40Weekly Top 100
1971,86,Here Comes the Sun Richie Havens,95,Top40Weekly Top 100
1971,87,Sweet Mary Wadsworth Mansion,96,Top40Weekly Top 100
1971,88,Right on the Tip of My Tongue Brenda & the Tabulations,97,Top40Weekly Top 100
1971,89,One Less Bell to Answer The 5th Dimension,98,Top40Weekly Top 100
1971,90,Riders on the Storm The Doors,99,Top40Weekly Top 100
1971,91,Somos Novios (It’s Impossible) Perry Como,100,Top40Weekly Top 100
1971,92,Three Dog Night,Joy to the World,Top40Weekly Top 100
1971,93,Rod Stewart,Maggie May/Reason to Believe,Top40Weekly Top 100
1971,94,Carole King,It’s Too Late/I Feel the Earth Move,Top40Weekly Top 100
1971,95,The Osmonds,One Bad Apple,Top40Weekly Top 100
1971,96,Bee Gees,How Can You Mend a Broken Heart,Top40Weekly Top 100
1971,97,Paul Revere & the Raiders,Indian Reservation (The Lament of the Cherokee Reservation Indian),Top40Weekly Top 100
1971,98,Donny Osmond,Go Away Little Girl,Top40Weekly Top 100
1971,99,John Denver,"Take Me Home, Country Roads",Top40Weekly Top 100
1971,100,The Temptations,Just My Imagination (Running Away with Me),Top40Weekly Top 100
